model,imbalance,features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,auc_roc
SVM_RBF,no_balancing,All (22),0.7903,0.6418,0.9335,0.35,0.8153,0.8665,0.3041,0.6078
SVM_Linear,no_balancing,All (22),0.7722,0.6474,0.8948,0.4,0.8252,0.8505,0.3352,0.6875
KNN,no_balancing,All (22),0.7512,0.6086,0.884,0.3333,0.8073,0.8404,0.216,0.7529
Random_Forest,no_balancing,All (22),0.804,0.6753,0.934,0.4167,0.8316,0.8765,0.3662,0.8333
Logistic_L1,no_balancing,All (22),0.7906,0.6879,0.8924,0.4833,0.8477,0.8639,0.379,0.7425
Logistic_L2,no_balancing,All (22),0.7906,0.6886,0.8939,0.4833,0.8479,0.864,0.3847,0.75
SVM_RBF,class_weight,All (22),0.6746,0.6049,0.7432,0.4667,0.8146,0.7663,0.1828,0.7368
SVM_Linear,class_weight,All (22),0.7051,0.6304,0.7775,0.4833,0.8285,0.7949,0.2239,0.6786
KNN,class_weight,All (22),0.7512,0.6086,0.884,0.3333,0.8073,0.8404,0.216,0.7529
Random_Forest,class_weight,All (22),0.7789,0.6481,0.9129,0.3833,0.8206,0.8605,0.2739,0.838
Logistic_L1,class_weight,All (22),0.7506,0.6817,0.8135,0.55,0.8581,0.8265,0.3376,0.743
Logistic_L2,class_weight,All (22),0.735,0.6567,0.8135,0.5,0.84,0.8174,0.2944,0.7575
SVM_RBF,smote,All (22),0.6956,0.6095,0.7857,0.4333,0.816,0.7864,0.205,0.7096
SVM_Linear,smote,All (22),0.7153,0.6335,0.8003,0.4667,0.8285,0.805,0.2468,0.6605
KNN,smote,All (22),0.7201,0.6745,0.7657,0.5833,0.862,0.798,0.3206,0.8057
Random_Forest,smote,All (22),0.7484,0.6284,0.8735,0.3833,0.8171,0.8365,0.2174,0.8232
Logistic_L1,smote,All (22),0.7465,0.6733,0.8132,0.5333,0.8508,0.8226,0.3214,0.7184
Logistic_L2,smote,All (22),0.7302,0.6484,0.8135,0.4833,0.8353,0.8147,0.2796,0.7362
SVM_RBF,class_weight,SVM-RFE,0.7662,0.7956,0.7579,0.8333,0.9135,0.8252,0.5106,0.8528
SVM_Linear,class_weight,SVM-RFE,0.7417,0.7026,0.7719,0.6333,0.8655,0.8118,0.3668,0.8445
KNN,class_weight,SVM-RFE,0.7763,0.6541,0.8915,0.4167,0.8248,0.853,0.3146,0.7871
Random_Forest,class_weight,SVM-RFE,0.7735,0.6642,0.8784,0.45,0.8312,0.8505,0.3185,0.8025
Logistic_L1,class_weight,SVM-RFE,0.7817,0.7497,0.7995,0.7,0.8991,0.8406,0.4562,0.8669
Logistic_L2,class_weight,SVM-RFE,0.7674,0.7432,0.7864,0.7,0.8866,0.8293,0.4443,0.8557
SVM_RBF,class_weight,RF-RFE,0.7614,0.6872,0.8244,0.55,0.8568,0.8336,0.3347,0.8367
SVM_Linear,class_weight,RF-RFE,0.7032,0.6686,0.7372,0.6,0.8616,0.7826,0.3068,0.8044
KNN,class_weight,RF-RFE,0.8313,0.7342,0.9184,0.55,0.8699,0.8909,0.4559,0.9065
Random_Forest,class_weight,RF-RFE,0.8196,0.6995,0.9324,0.4667,0.8462,0.885,0.4052,0.8917
Logistic_L1,class_weight,RF-RFE,0.7242,0.6705,0.7743,0.5667,0.8613,0.8025,0.315,0.8401
Logistic_L2,class_weight,RF-RFE,0.7452,0.6969,0.7939,0.6,0.868,0.82,0.3698,0.8485
SVM_RBF,class_weight,RFE Union,0.7147,0.6663,0.7659,0.5667,0.8455,0.7945,0.309,0.8305
SVM_Linear,class_weight,RFE Union,0.6889,0.6249,0.7499,0.5,0.8278,0.7785,0.2161,0.777
KNN,class_weight,RFE Union,0.8218,0.7225,0.9117,0.5333,0.8622,0.8847,0.4355,0.8978
Random_Forest,class_weight,RFE Union,0.7903,0.6595,0.9191,0.4,0.8243,0.8662,0.3128,0.8509
Logistic_L1,class_weight,RFE Union,0.7302,0.6636,0.7939,0.5333,0.8487,0.8109,0.3064,0.8222
Logistic_L2,class_weight,RFE Union,0.7147,0.6436,0.7872,0.5,0.8348,0.7993,0.2721,0.8311
SVM_RBF,class_weight,PCA (10),0.6807,0.6081,0.7495,0.4667,0.8128,0.7689,0.1867,0.7662
SVM_Linear,class_weight,PCA (10),0.6937,0.6233,0.7632,0.4833,0.8259,0.7867,0.2144,0.6811
KNN,class_weight,PCA (10),0.7452,0.5921,0.8842,0.3,0.8017,0.8378,0.1883,0.7899
Random_Forest,class_weight,PCA (10),0.7837,0.6372,0.9244,0.35,0.815,0.8633,0.2663,0.7586
Logistic_L1,class_weight,PCA (10),0.7356,0.6661,0.7988,0.5333,0.8485,0.8169,0.3005,0.7689
Logistic_L2,class_weight,PCA (10),0.7452,0.6785,0.807,0.55,0.8559,0.8238,0.3347,0.7665
